block,stim_paths,stim_type,RAND
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,sad,0.612705969
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,sad,0.200371658
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_Ang_125_.jpg,angry,0.248656801
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,sad,0.477912405
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_Sad_075_.jpg,sad,0.119808259
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,sad,0.414180695
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,angry,0.097806099
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,sad,0.318735142
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_Sad_100_.jpg,sad,0.507401472
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_Sad_125_.jpg,sad,0.635133405
rate_faces,/js/tasks/emotional_faces/media/faces/MC06_Ang_100_.jpg,angry,0.673314405
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_Ang_100_.jpg,angry,0.398633281
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,sad,0.915166286
rate_faces,/js/tasks/emotional_faces/media/faces/MC06_Sad_100_.jpg,sad,0.75756163
rate_faces,/js/tasks/emotional_faces/media/faces/MC05_Ang_100_.jpg,angry,0.211042808
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_Sad_100_.jpg,sad,0.570522993
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_Sad_100_.jpg,sad,0.206863338
rate_faces,/js/tasks/emotional_faces/media/faces/MC06_Sad_125_.jpg,sad,0.702710579
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,sad,0.445564004
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,angry,0.934142406
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,angry,0.286266375
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,angry,0.153381711
rate_faces,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,angry,0.400529404
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_Ang_100_.jpg,angry,0.810681442
rate_faces,/js/tasks/emotional_faces/media/faces/MC06_Ang_050_.jpg,angry,0.36175975
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,angry,0.008055876
rate_faces,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,sad,0.191333737
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_Sad_100_.jpg,sad,0.54533481
rate_faces,/js/tasks/emotional_faces/media/faces/MC05_Sad_100_.jpg,sad,0.860759635
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,angry,0.616359743
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_Sad_050_.jpg,sad,0.955309983
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,sad,0.170985047
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_Ang_100_.jpg,angry,0.713956765
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_Sad_050_.jpg,sad,0.09041288
rate_faces,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,angry,0.91442918
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_Ang_100_.jpg,angry,0.517036555
rate_faces,/js/tasks/emotional_faces/media/faces/MC06_Ang_075_.jpg,angry,0.859116852
rate_faces,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,sad,0.091038301
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,sad,0.895279442
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,angry,0.248231556
rate_faces,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,angry,0.78815066
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_Sad_100_.jpg,sad,0.765348538
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_Sad_075_.jpg,sad,0.23300002
rate_faces,/js/tasks/emotional_faces/media/faces/MC06_Sad_075_.jpg,sad,0.194908228
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_Ang_075_.jpg,angry,0.866696429
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_Ang_075_.jpg,angry,0.21247604
rate_faces,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,angry,0.477493085
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_Ang_100_.jpg,angry,0.376664111
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_Ang_100_.jpg,angry,0.473216641
rate_faces,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,sad,0.813703498
rate_faces,/js/tasks/emotional_faces/media/faces/MC02_Sad_075_.jpg,sad,0.19206075
rate_faces,/js/tasks/emotional_faces/media/faces/MC10_Ang_050_.jpg,angry,0.929329109
rate_faces,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,angry,0.110771652
rate_faces,/js/tasks/emotional_faces/media/faces/MC03_Ang_050_.jpg,angry,0.228882509
